sale_id,sale_date,store_id,product_id,quantity
JV-087694,17-04-2022,ST-59,P-48,4
BP-13880,24-02-2021,ST-47,P-45,3
KJ-494200,29-05-2023,ST-46,P-72,5
ZE-675897,19-12-2023,ST-34,P-38,7
FK-45673,26-02-2023,ST-30,P-27,1
QS-84279,24-11-2020,ST-1,P-37,2
QD-4586,31-03-2023,ST-9,P-24,9
FW-014944,03-03-2024,ST-72,P-43,5
GR-11754,09-07-2020,ST-74,P-20,1
IP-445841,20-01-2022,ST-18,P-49,8
PZ-94649,03-07-2022,ST-50,P-34,5
YE-45021,22-07-2024,ST-74,P-19,1
OQ-4173,15-12-2021,ST-68,P-74,10
IX-97723,04-08-2021,ST-4,P-53,2
HH-31929,21-07-2023,ST-31,P-17,6
YP-15981,27-01-2021,ST-56,P-63,4
MB-3222,21-02-2023,ST-38,P-68,6
KR-091107,04-03-2020,ST-32,P-63,3
OV-78950,12-12-2021,ST-51,P-28,3
SY-70394,14-10-2020,ST-72,P-43,8
ZI-97191,16-09-2022,ST-25,P-71,1
PU-1690,26-06-2022,ST-2,P-49,4
CH-29794,12-07-2023,ST-42,P-63,4
CC-52297,03-04-2023,ST-59,P-2,9
QK-8480,16-10-2022,ST-50,P-87,3
SZ-5142,30-03-2021,ST-45,P-51,5
NJ-150243,04-02-2020,ST-29,P-80,4
MJ-31198,27-08-2022,ST-34,P-24,3
SX-09658,26-02-2024,ST-22,P-30,10
HX-80312,10-10-2024,ST-24,P-6,3
NU-163883,29-08-2020,ST-42,P-61,10
JG-61505,01-02-2023,ST-31,P-88,7
JS-867069,30-07-2024,ST-7,P-45,2
NI-83698,24-11-2021,ST-56,P-20,3
JH-963841,19-08-2023,ST-9,P-9,5
SN-306895,19-09-2023,ST-39,P-13,10
JV-2960,08-04-2020,ST-69,P-85,3
FG-0217,16-07-2020,ST-29,P-52,8
DX-86138,07-09-2023,ST-14,P-57,5
IA-164424,28-11-2022,ST-61,P-8,6
JH-177298,18-04-2020,ST-64,P-75,9
JA-77656,15-01-2021,ST-56,P-88,5
KZ-3626,04-08-2023,ST-65,P-37,4
LX-054598,26-09-2022,ST-43,P-69,8
ED-207108,07-10-2022,ST-6,P-60,10
FB-7543,30-05-2024,ST-15,P-80,1
IV-29693,27-07-2020,ST-41,P-46,1
WL-7493,27-02-2021,ST-6,P-43,6
AA-133370,26-02-2023,ST-58,P-24,3
QL-02662,17-02-2024,ST-19,P-26,3
WT-68915,21-10-2024,ST-1,P-35,7
MH-740155,01-11-2024,ST-3,P-80,4
RA-21700,21-07-2020,ST-73,P-85,10
QD-913306,18-10-2022,ST-22,P-84,7
UF-249627,31-08-2024,ST-73,P-44,8
JO-70887,06-08-2021,ST-33,P-67,2
YC-132294,27-09-2020,ST-59,P-50,5
JC-4773,20-03-2024,ST-45,P-42,5
HL-97458,13-11-2021,ST-53,P-72,3
RU-67593,02-02-2021,ST-59,P-69,6
VF-17643,14-09-2022,ST-74,P-37,1
BC-9520,14-07-2023,ST-37,P-70,1
OS-35150,12-02-2021,ST-40,P-62,10
EH-6887,13-03-2024,ST-45,P-50,6
HN-3093,05-05-2022,ST-36,P-9,3
RP-13887,02-01-2024,ST-75,P-16,9
KI-21226,22-08-2022,ST-38,P-10,3
XG-14988,27-10-2023,ST-22,P-13,1
UR-51343,22-05-2023,ST-58,P-24,1
GH-45641,30-06-2023,ST-74,P-85,5
QM-6823,13-08-2024,ST-48,P-50,2
GQ-988767,05-10-2020,ST-59,P-31,9
BK-154465,16-06-2021,ST-65,P-34,1
VE-3834,12-06-2024,ST-75,P-47,3
TV-509243,20-04-2024,ST-2,P-17,9
FT-19623,21-05-2023,ST-11,P-33,3
DB-172140,03-02-2022,ST-17,P-70,10
EE-4982,03-08-2022,ST-31,P-68,4
QZ-2260,12-02-2024,ST-20,P-53,4
OA-66076,04-08-2024,ST-42,P-39,3
IO-0087,30-03-2023,ST-13,P-27,1
IP-9768,01-04-2023,ST-38,P-76,6
DH-58217,18-08-2024,ST-55,P-44,9
EU-82235,28-03-2023,ST-55,P-73,8
QZ-5322,08-07-2023,ST-51,P-60,10
XG-446263,29-07-2020,ST-53,P-25,8
VG-0424,21-09-2023,ST-58,P-77,2
QP-0517,18-02-2023,ST-30,P-53,10
PF-943807,06-01-2021,ST-73,P-68,2
EY-8439,22-05-2023,ST-28,P-7,3
DG-94893,18-07-2022,ST-66,P-71,4
OB-7101,05-02-2024,ST-16,P-47,3
DA-4060,03-09-2022,ST-71,P-87,7
ML-2630,22-07-2024,ST-48,P-12,1
AN-960185,12-12-2021,ST-67,P-66,10
LN-181260,07-02-2024,ST-47,P-37,2
VD-3930,06-06-2024,ST-7,P-84,4
II-55746,28-08-2022,ST-37,P-49,2
CN-737783,10-02-2024,ST-3,P-22,6
DX-9391,27-04-2022,ST-73,P-75,10
VB-8501,03-01-2023,ST-19,P-33,9
TS-5893,31-05-2023,ST-60,P-45,10
GN-1120,21-10-2022,ST-9,P-27,1
OO-1268,29-10-2021,ST-14,P-18,9
UT-990757,06-11-2023,ST-66,P-16,10
OP-6687,05-06-2023,ST-66,P-54,5
CN-25457,29-10-2020,ST-36,P-50,9
DR-323307,12-04-2020,ST-2,P-36,3
TT-5740,18-02-2024,ST-50,P-26,6
XO-9671,12-09-2021,ST-29,P-3,2
BB-6314,11-05-2021,ST-59,P-27,9
IQ-51173,30-09-2021,ST-37,P-21,3
JA-4463,03-01-2021,ST-5,P-51,6
LS-7710,16-01-2020,ST-71,P-26,5
YQ-195078,07-06-2020,ST-60,P-60,4
SV-6329,02-03-2020,ST-9,P-57,8
SA-24702,03-10-2021,ST-25,P-19,5
LT-3799,21-02-2021,ST-4,P-54,5
HH-71036,09-09-2023,ST-38,P-1,5
OU-729398,29-08-2021,ST-60,P-79,8
DP-62523,16-11-2023,ST-26,P-20,5
RY-77723,02-04-2022,ST-31,P-23,8
XF-06891,12-01-2021,ST-64,P-27,8
YY-559015,15-10-2024,ST-29,P-59,10
KC-992801,11-12-2020,ST-44,P-56,10
DP-015487,31-10-2021,ST-18,P-81,8
GT-7635,21-05-2020,ST-1,P-53,10
FB-56444,25-04-2024,ST-9,P-46,6
ZG-6168,24-09-2020,ST-62,P-81,2
RU-2976,08-11-2020,ST-57,P-62,8
DT-67709,23-09-2020,ST-63,P-35,7
ES-39287,25-11-2023,ST-60,P-53,5
OQ-21886,22-05-2022,ST-73,P-87,2
TA-81969,11-07-2021,ST-35,P-40,9
CL-8122,09-10-2022,ST-38,P-52,3
LK-11785,13-09-2022,ST-63,P-72,5
JP-8431,22-04-2022,ST-37,P-72,6
EJ-66720,09-07-2021,ST-34,P-72,9
LW-76995,27-08-2021,ST-50,P-62,2
UP-216996,22-07-2022,ST-63,P-56,1
QC-198750,27-02-2022,ST-55,P-79,9
QI-312918,13-02-2022,ST-36,P-16,10
TT-4483,27-08-2020,ST-72,P-10,5
WR-6540,03-04-2024,ST-59,P-62,5
AK-198495,24-11-2023,ST-22,P-23,10
UG-5045,01-05-2020,ST-24,P-8,2
KN-56306,16-02-2023,ST-67,P-88,9
VN-996547,01-02-2021,ST-38,P-65,2
AM-1560,09-05-2020,ST-62,P-25,1
SH-8969,01-10-2023,ST-64,P-33,2
NH-772801,31-08-2020,ST-34,P-16,7
UD-23795,21-12-2023,ST-36,P-62,10
KL-35893,28-06-2020,ST-19,P-29,8
IU-6760,04-08-2020,ST-69,P-45,2
IX-433039,06-11-2022,ST-10,P-79,10
WW-56989,04-06-2022,ST-66,P-74,6
QF-8945,15-06-2021,ST-30,P-31,5
PM-9942,16-10-2024,ST-46,P-81,10
NA-5782,27-06-2024,ST-62,P-73,4
NB-140340,18-05-2022,ST-57,P-40,4
SQ-722161,15-11-2021,ST-23,P-72,4
OB-5883,06-03-2021,ST-69,P-37,5
VS-6264,21-10-2020,ST-39,P-4,6
ID-936722,03-07-2024,ST-21,P-54,4
CJ-384781,19-06-2023,ST-39,P-14,9
CR-2731,21-04-2020,ST-73,P-41,9
ZD-16419,18-05-2024,ST-19,P-89,6
WG-3321,01-06-2020,ST-18,P-8,2
UU-57785,03-04-2021,ST-66,P-57,1
YW-8038,24-11-2022,ST-26,P-86,7
KB-71838,15-12-2021,ST-11,P-49,8
EL-286902,10-03-2024,ST-11,P-49,10
VL-48300,23-12-2020,ST-75,P-75,7
AE-0065,23-03-2022,ST-54,P-71,2
FJ-340873,08-11-2023,ST-39,P-49,5
UK-524729,07-09-2022,ST-44,P-47,9
GG-3542,15-03-2023,ST-29,P-13,10
SF-927427,02-12-2020,ST-37,P-80,3
WI-639574,14-02-2024,ST-68,P-16,2
BW-0381,19-05-2022,ST-60,P-50,8
LX-661967,25-09-2024,ST-16,P-69,1
WN-8319,28-12-2022,ST-10,P-82,8
OJ-12661,10-09-2024,ST-29,P-44,5
KS-48768,31-12-2021,ST-25,P-52,7
EU-91531,04-12-2022,ST-9,P-62,6
BL-548375,05-09-2022,ST-7,P-39,1
US-8128,19-06-2023,ST-67,P-6,7
SM-2728,06-04-2022,ST-42,P-28,1
XS-9165,21-09-2024,ST-43,P-77,10
EW-6701,20-01-2021,ST-59,P-63,4
SN-527685,04-02-2020,ST-49,P-9,1
YU-051924,08-10-2024,ST-11,P-20,9
GM-603816,02-09-2022,ST-56,P-83,6
TE-589696,24-05-2023,ST-18,P-24,3
OK-030980,07-01-2024,ST-14,P-54,2
BT-913847,16-02-2020,ST-10,P-73,8
XA-978503,03-07-2020,ST-1,P-23,10
ZV-7233,03-05-2024,ST-23,P-81,9
MH-72952,17-06-2023,ST-23,P-26,3
ND-9780,10-07-2024,ST-17,P-51,1
IG-18552,23-08-2022,ST-23,P-1,6
LF-99781,25-11-2020,ST-7,P-59,2
FK-78954,11-04-2022,ST-15,P-39,10
PU-006573,11-05-2023,ST-72,P-82,7
JR-53290,17-05-2022,ST-72,P-14,6
XI-990648,14-04-2020,ST-47,P-13,6
OS-44763,13-11-2021,ST-11,P-15,6
OS-932943,18-03-2022,ST-23,P-76,4
FG-80985,11-02-2022,ST-7,P-66,2
HN-92882,13-11-2022,ST-10,P-39,4
EJ-409944,25-06-2024,ST-9,P-30,6
VK-93255,27-04-2021,ST-53,P-75,6
GY-65776,26-01-2020,ST-43,P-84,8
EI-788384,14-06-2020,ST-18,P-24,4
IM-9986,01-05-2022,ST-62,P-61,10
CF-3989,24-02-2022,ST-67,P-18,8
BT-76580,12-07-2023,ST-42,P-4,2
YZ-122103,01-10-2021,ST-71,P-42,9
PU-4495,21-06-2023,ST-62,P-50,9
VT-59279,18-05-2020,ST-53,P-72,8
VO-89578,13-10-2023,ST-18,P-47,8
UI-0066,15-07-2022,ST-45,P-82,1
ZL-018946,18-04-2022,ST-43,P-38,4
TF-21412,22-07-2020,ST-34,P-64,7
LU-71789,04-12-2021,ST-32,P-50,10
SF-53628,06-05-2023,ST-50,P-89,9
ED-0296,26-03-2023,ST-62,P-53,9
UT-223940,31-08-2023,ST-40,P-31,3
KM-337698,28-08-2024,ST-47,P-9,9
NX-359278,29-08-2021,ST-60,P-34,9
AA-59909,13-03-2024,ST-68,P-49,5
HE-3308,29-11-2021,ST-69,P-84,7
VI-0148,17-03-2020,ST-60,P-58,9
TL-560102,04-10-2024,ST-36,P-65,9
YW-38714,27-02-2020,ST-14,P-43,1
SF-2550,25-12-2022,ST-56,P-4,6
JU-3958,21-04-2021,ST-12,P-30,8
RG-244012,16-02-2021,ST-52,P-16,2
CD-314987,22-06-2021,ST-60,P-29,1
GO-56515,05-06-2020,ST-14,P-12,10
CB-159088,08-11-2022,ST-2,P-5,7
KJ-123869,17-09-2022,ST-26,P-44,5
EJ-5192,25-07-2023,ST-8,P-12,9
BX-32132,14-09-2023,ST-48,P-84,2
UD-92690,02-09-2021,ST-25,P-5,1
IM-79368,14-10-2020,ST-36,P-35,9
AG-519124,31-07-2020,ST-72,P-50,8
ZN-6122,12-07-2023,ST-30,P-12,8
RL-702259,02-03-2022,ST-74,P-89,9
ND-629241,19-12-2020,ST-42,P-35,2
OR-743078,10-04-2023,ST-16,P-43,4
HO-150955,01-01-2023,ST-5,P-31,3
OX-03908,19-12-2021,ST-27,P-43,9
KF-3236,06-02-2022,ST-18,P-22,10
SY-674990,09-06-2021,ST-30,P-32,6
DA-99935,21-01-2023,ST-50,P-27,7
XM-2869,07-08-2020,ST-35,P-4,1
XF-327325,23-06-2022,ST-17,P-75,7
ZW-6227,12-02-2022,ST-51,P-78,7
ZX-97459,17-09-2023,ST-22,P-65,9
GY-8422,03-11-2022,ST-6,P-38,6
XT-6233,08-09-2022,ST-69,P-17,5
ER-2549,21-03-2024,ST-48,P-56,2
HI-85160,27-08-2023,ST-53,P-8,1
TL-63055,23-02-2023,ST-7,P-81,7
DT-65469,29-08-2020,ST-68,P-69,1
IX-69951,23-04-2020,ST-56,P-43,5
TT-434180,14-05-2024,ST-62,P-63,1
HH-142815,03-12-2021,ST-65,P-29,10
XX-987762,12-02-2023,ST-23,P-7,1
VP-23831,26-03-2023,ST-31,P-52,4
AA-567197,17-08-2022,ST-65,P-49,5
WV-2638,20-03-2022,ST-65,P-52,4
EA-15615,29-12-2021,ST-5,P-23,2
TJ-5746,12-08-2022,ST-30,P-18,6
JH-52183,15-03-2021,ST-22,P-78,7
UH-241850,30-06-2024,ST-2,P-16,6
BM-0019,06-11-2021,ST-3,P-43,6
SP-026198,16-03-2021,ST-16,P-53,5
JG-111375,13-06-2020,ST-37,P-1,7
FZ-36564,30-08-2022,ST-68,P-21,4
JG-953955,30-10-2022,ST-19,P-44,6
VF-627570,08-07-2023,ST-22,P-50,10
VR-835480,10-03-2020,ST-27,P-5,1
ZD-887571,31-01-2023,ST-55,P-88,5
QT-13612,18-10-2021,ST-9,P-85,6
QH-35398,06-02-2020,ST-52,P-81,10
OT-416284,10-05-2024,ST-44,P-2,3
FU-0561,04-06-2020,ST-23,P-83,6
SM-503667,04-08-2022,ST-42,P-23,7
QO-8282,13-01-2024,ST-63,P-51,3
PF-783772,05-10-2020,ST-5,P-12,10
OQ-5875,25-09-2020,ST-57,P-25,7
BX-87912,21-09-2022,ST-42,P-35,4
CJ-77390,10-02-2020,ST-56,P-27,4
SQ-10866,22-11-2021,ST-5,P-69,3
ZZ-26759,30-10-2021,ST-31,P-73,4
VJ-09416,31-10-2022,ST-7,P-14,7
JI-9188,16-01-2020,ST-8,P-19,2
AP-80732,01-06-2022,ST-38,P-41,10
HF-0348,25-01-2024,ST-20,P-81,5
PN-847536,27-09-2024,ST-61,P-57,4
UE-57666,04-10-2021,ST-73,P-6,2
UD-79346,13-01-2024,ST-49,P-57,3
XN-324564,26-07-2024,ST-27,P-44,7
JI-8718,11-06-2023,ST-72,P-26,2
MP-082486,14-08-2023,ST-36,P-35,7
CA-783164,25-08-2020,ST-54,P-67,3
ET-999268,30-01-2024,ST-6,P-49,3
PK-48555,07-11-2023,ST-8,P-49,7
RN-1108,05-02-2021,ST-12,P-11,10
EH-2135,18-01-2020,ST-24,P-48,10
LS-3207,10-06-2022,ST-33,P-70,3
WI-2159,16-01-2020,ST-64,P-75,8
JF-21582,25-10-2024,ST-32,P-42,10
KC-43196,08-08-2023,ST-34,P-17,1
IM-042135,21-10-2023,ST-72,P-62,5
ZN-13612,19-01-2021,ST-41,P-84,9
TO-661796,06-04-2020,ST-62,P-59,9
IY-611887,31-08-2020,ST-64,P-47,4
WQ-7811,29-07-2020,ST-35,P-74,7
QX-939852,11-11-2021,ST-49,P-67,7
CK-1805,20-11-2021,ST-26,P-55,5
HH-00980,06-06-2021,ST-72,P-38,9
DD-27109,21-11-2021,ST-12,P-31,3
XD-680970,16-10-2024,ST-40,P-23,3
DQ-76619,27-12-2020,ST-41,P-19,7
AK-1212,18-01-2023,ST-28,P-27,8
AQ-95052,26-10-2021,ST-30,P-37,10
IS-47058,14-02-2021,ST-10,P-44,10
QM-798321,06-01-2023,ST-17,P-52,5
JF-5547,28-10-2021,ST-6,P-60,3
IF-195540,01-02-2022,ST-10,P-81,2
AQ-107217,13-09-2020,ST-26,P-4,7
SF-318538,27-02-2021,ST-71,P-56,10
ZN-16611,15-03-2022,ST-55,P-77,9
IV-596277,26-04-2023,ST-68,P-15,8
GQ-223816,15-09-2020,ST-43,P-23,6
LS-196214,17-07-2020,ST-48,P-18,9
TW-39690,29-11-2021,ST-9,P-16,3
KO-6131,11-11-2023,ST-19,P-82,6
UJ-400217,03-02-2022,ST-12,P-20,4
DJ-921004,30-05-2023,ST-66,P-58,6
BV-85838,30-08-2024,ST-27,P-70,1
GZ-24470,06-12-2022,ST-7,P-20,1
MC-78940,16-12-2022,ST-54,P-20,8
HB-460256,02-04-2020,ST-33,P-27,2
